bank_name,bin_code
Ngân hàng TMCP Sài Gòn Công Thương,970400
Ngân hàng TMCP Sài Gòn Thương Tín,970403
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,970405
Ngân hàng TMCP Đông Á,970406
Ngân hàng TMCP Kỹ Thương Việt Nam,970407
Ngân hàng TNHH Một Thành Viên Dầu Khí Toàn Cầu,970408
Ngân hàng TMCP Bắc Á,970409
Ngân hàng TNHH Một Thành Viên Standard Chartered,970410
Ngân hàng TMCP Đại Chúng Việt Nam,970412
Ngân hàng TNHH Một Thành Viên Đại Dương,970414
Ngân hàng TMCP Công Thương Việt Nam,970415
Ngân hàng TMCP Á Châu,970416
Ngân hàng Đầu tư và Phát triển Việt Nam,970418
Ngân hàng TMCP Việt Á,970427
Ngân hàng TMCP Nam Á,970428
Ngân hàng TMCP Sài Gòn,970429
Ngân hàng TMCP Xăng dầu Petrolimex,970430
Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,970431
Ngân hàng TMCP Việt Nam Thịnh Vượng,970432
Ngân hàng TMCP Việt Nam Thương Tín,970433
Ngân hàng TMCP Quốc Dân,970419
Ngân hàng Liên doanh Việt Nga,970421
Ngân hàng TMCP Quân Đội,970422
Ngân hàng TMCP Tiên Phong,970423
Ngân hàng TNHH Một Thành Viên Shinhan Việt Nam,970424
Ngân hàng TMCP An Bình,970425
Ngân hàng TMCP Hàng Hải,970426
Ngân hàng TNHH Indovina,970434
Ngân hàng TMCP Ngoại thương Việt Nam,970436
Ngân hàng TMCP Phát triển TP.HCM,970437
Ngân hàng TMCP Bảo Việt,970438
Ngân hàng TNHH Một Thành Viên Public Việt Nam,970439
Ngân hàng TMCP Đông Nam Á,970440
Ngân hàng TMCP Quốc Tế Việt Nam,970441
Ngân hàng TNHH Một Thành Viên Hong Leong Việt Nam,970442
Ngân hàng TMCP Sài Gòn – Hà Nội,970443
Ngân hàng TNHH Một Thành Viên Xây Dựng Việt Nam,970444
Ngân hàng Hợp Tác Xã Việt Nam,970446
Ngân hàng TMCP Phương Đông,970448
Ngân hàng TMCP Bưu Điện Liên Việt,970449
Ngân hàng TMCP Kiên Long,970452
Ngân hàng TMCP Bản Việt,970454
Ngân hàng Công nghiệp Hàn Quốc - Chi nhánh Hà Nội,970455
Ngân hàng Industrial Bank of Korea - Chi nhánh Hồ Chí Minh,970456
Ngân hàng TNHH Một Thành Viên Woori Bank Việt Nam,970457
Ngân hàng TNHH Một Thành Viên UOB Việt Nam,970458
Ngân hàng TNHH Một Thành Viên CIMB Việt Nam,970459
Công ty Tài chính cổ phần Xi Măng,970460
Ngân hàng Kookmin - Chi nhánh Hà Nội,970462
Ngân hàng Kookmin - Chi nhánh Tp. Hồ Chí Minh,970463
Công ty Tài chính TNHH MTV CỘNG ĐỒNG,970464
Ngân hàng SINOPAC - Chi nhánh Tp. Hồ Chí Minh,970465
Ngân hàng KEB HANA - Chi nhánh Tp. Hồ Chí Minh,970466
Ngân hàng KEB HANA - Chi nhánh Hà Nội,970467
Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),970468
Công ty Tài chính TNHH MB SHINSEI,970470
